Gal,System,Pos,Planeta / Nazwa (Aktywność),Księżyc,PZ,Status,Gracz,Sojusz,Akcja,Pozycja,PlayerId,PlanetId,Komentarz covidu,,
,,,5739 planet / 9 opuszczonych,230 moonów,,,zielony = idler,1813 idlerów,,,,, by matej & polkin3run & rabus,,
,,,,,,,,,,,,,,,
1,11,7,Kolonia,,,,rexina,-,Szpieguj,597,1018,4425,,157,101107
1,11,8,Hajot Hakados,,,u,Omur,-,Szpieguj,426,14,13,,158,101108
1,11,9,BORuto (19 min),,,,ghost92,ZERO,Szpieguj,88,1017,3233,,159,101109
1,12,1,,,,,,,,0,0,0,,166,101201
1,12,10,Planeta macierzysta,,,,rexina,-,Szpieguj,597,1018,1017,,175,101210
1,12,11,,,,,,,,0,0,0,,176,101211
1,12,12,Main Planet,,,i,tabuz,-,Szpieguj,2361,1917,1916,,177,101212
1,12,13,,,,,,,,0,0,0,,178,101213
1,12,14,,,,,,,,0,0,0,,179,101214
1,12,15,,,,,,,,0,0,0,,180,101215
1,12,2,,,,,,,,0,0,0,,167,101202
1,12,3,Kolonia,,,u,l0qu94,-,Szpieguj,561,2176,5619,,168,101203
1,12,4,,,,,,,,0,0,0,,169,101204
1,12,5,,,,,,,,0,0,0,,170,101205
1,12,6,Indiana,,,u,mindflayer,-,Szpieguj,719,23,4125,,171,101206
1,12,7,SI,,,u,JK.,-,Szpieguj,812,15,14,,172,101207
1,12,8,UR,,,u,JK.,-,Szpieguj,812,15,2561,,173,101208
1,12,9,EK,,,u,JK.,-,Szpieguj,812,15,2921,,174,101209
1,13,1,,,,,,,,0,0,0,,181,101301
1,13,10,,,,,,,,0,0,0,,190,101310
1,13,11,Alderan (*),"śr: 6.782, temp: -47",,,ArekJ,MnS,Szpieguj,79,16,15,,191,101311
1,13,12,,,,,,,,0,0,0,,192,101312
1,13,13,,,,,,,,0,0,0,,193,101313
1,13,14,,,,,,,,0,0,0,,194,101314
1,13,15,,,,,,,,0,0,0,,195,101315
1,13,2,,,,,,,,0,0,0,,182,101302
1,13,3,,,,,,,,0,0,0,,183,101303
1,13,4,Planeta macierzysta,,,i,Skrimon,-,Szpieguj,2500,2702,5356,,184,101304
1,13,5,,,,,,,,0,0,0,,185,101305
1,13,6,,,,,,,,0,0,0,,186,101306
1,13,7,Faktoria mefedronu,,,,Roszp,CO5G,Szpieguj,428,1015,5044,,187,101307
1,13,8,Main Planet,,,i,Kopernik,-,Szpieguj,2189,1019,1018,,188,101308
1,13,9,Planeta macierzysta,,,i,Stewe,-,Szpieguj,2046,1918,1917,,189,101309
1,14,1,,,,,,,,0,0,0,,196,101401
1,14,10,Planeta macierzysta,,,i,h0llow,-,Szpieguj,2362,1919,1918,,205,101410
1,14,11,P1 (*),,,,mateop5,-,Szpieguj,469,2703,5361,,206,101411
1,14,12,,,,,,,,0,0,0,,207,101412
1,14,13,,,,,,,,0,0,0,,208,101413
1,14,14,,,,,,,,0,0,0,,209,101414
1,14,15,,,,,,,,0,0,0,,210,101415
1,14,2,,,,,,,,0,0,0,,197,101402
1,14,3,,,,,,,,0,0,0,,198,101403
1,14,4,,,,,,,,0,0,0,,199,101404
1,14,5,Pollo (*),,,i,Floo,-,Szpieguj,771,17,5152,,200,101405
1,14,6,Capricciosa (*),,,i,Floo,-,Szpieguj,771,17,4010,,201,101406
1,14,7,Piacere (18 min),,,i,Floo,-,Szpieguj,771,17,2710,,202,101407
1,14,8,Planeta macierzysta,,,i,ShiVek7,-,Szpieguj,2190,1020,1019,,203,101408
1,14,9,Pepperoni (18 min),"śr: 8.485, temp: -19",,i,Floo,-,Szpieguj,771,17,16,,204,101409
1,15,1,,,,,,,,0,0,0,,211,101501
1,15,10,ThatsTheWaySheGoes (*),,,,RandyBobandy,-,Szpieguj,89,18,5566,,220,101510
1,15,11,Patrick Swayze (*),,,,RandyBobandy,-,Szpieguj,89,18,6380,,221,101511
1,15,12,Sunnyvale (*),,,,RandyBobandy,-,Szpieguj,89,18,17,,222,101512
1,15,13,,,,,,,,0,0,0,,223,101513
1,15,14,,,,,,,,0,0,0,,224,101514
1,15,15,,,,,,,,0,0,0,,225,101515
1,15,2,,,,,,,,0,0,0,,212,101502
1,15,3,,,,,,,,0,0,0,,213,101503
1,15,4,,,,,,,,0,0,0,,214,101504
1,15,5,Kory i Trevor (*),,,,RandyBobandy,-,Szpieguj,89,18,3425,,215,101505
